Title,Company,Location,Experience,PostDay,Desc
Data Scientist: Artificial Intelligence,IBM,Bengaluru,5-7 Yrs,12 Days Ago,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Data Scientist,FitFinder,Remote,5-10 Yrs,3 Days Ago,"Technical Expertise: Strong knowledge of data science and machine learning tools, inclu..."
Data Scientist,Service based company,Bengaluru,8-13 Yrs,5 Days Ago,6+ years of IT experience with a min of 3+ years in Data Science (AI / ML)Experience wi...
Data Scientist,Xebia,Bengaluru,3-6 Yrs,7 Days Ago,"B Tech from Tier-1 college i.e IITs, NITs, IIITs, BITS, ISI, VTU, SRM or Manipal. . Not..."
Data Scientist,Indian MNC,Remote,7-12 Yrs,4 Days Ago,Role & responsibilities  Solves analytical problems using quantitative approaches throu...
Opportunity | Data Scientist | Tavant India,Tavant Technologies,"Hybrid - Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",10-17 Yrs,11 Days Ago,"Qualifications: . Bachelors or Masters degree in Computer Science, Data Science, Statis..."
Data Scientist,Williams Lea,"Kochi, Chennai",5-9 Yrs,3 Days Ago,"Masters or PhD in Computer Science, Statistics, Mathematics, Engineering, or a related ..."
Data Scientist Maruti Suzuki,Maruti Suzuki,Gurugram,3-7 Yrs,5 Days Ago,BE/ B Tech with 60% marks and certification course / diploma in Data science Competency...
Data Scientist,Gojek,Bengaluru,1-2 Yrs,9 Days Ago,"Bachelor s or Master s Degree in Computer Science, Statistics, Operations Research, or ..."
Data Scientist,Paypal,Bengaluru,5-10 Yrs,12 Days Ago,Understanding the funnel so that we can identify friction points and opportunities to i...
Data Scientist,Paypal,Bengaluru,3-8 Yrs,12 Days Ago,"Trouble shooting any data, system and flow challenges while maintaining flawless strate..."
Data Scientist,Paypal,Bengaluru,4-8 Yrs,12 Days Ago,These solutions will directly impact customer experience with PayPal products . What do...
Data Analyst & Data Scientist,Varuna Integrated Logistics,Gurugram,3-8 Yrs,13 Days Ago,1.     Standard Rate Chart     a.     Current process       i.     Mktrate       ii. ...
Data Scientist Azure,Leading Client,Bengaluru,6-11 Yrs,11 Days Ago,"5+ years relevant real-world experience researching, developing, and delivering high im..."
Data Scientist,Tata Technologies,"Hybrid - Pune, Bengaluru",6-9 Yrs,14 Days Ago,minimum 5+ years of hands on experience in using machine learning techniques or forecas...
Data Scientist,Prodapt Solutions,Hybrid - Chennai,7-10 Yrs,6 Days Ago,Location: Chennai. Notice Period: 0-30days. Employment Type: Full Time. Education: Bach...
Data Scientist,Maxima Consulting,Pune,5-10 Yrs,3 Days Ago,Position Title: Data Scientist . What Youll Need: . Bachelors Degree in Industrial & Sy...
Data Scientist,TCG Living Spaces,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",5-10 Yrs,3 Days Ago,The artificial intelligence (AI) landscape is being reshaped by the rise of generative...
Data Scientist,Headstrait,Mumbai,1-5 Yrs,5 Days Ago,Headstrait is looking for Data Scientist to join our dynamic team and embark on a rewar...
Data Scientist,MAD Works,Hyderabad,2-5 Yrs,5 Days Ago,MAD Works is looking for Data Scientist to join our dynamic team and embark on a reward...
Data Scientist,_VOIS,Hybrid - Pune,10-20 Yrs,6 Days Ago,At least 1 certification in AWS will be preferred Should be able to build robust prescr...
Data Scientist,Apollo 247,Gurugram,3-8 Yrs,7 Days Ago,Qualification: Master in Computer Science or Mathematics from Tier I colleges (or. equi...
Data Scientist,Orange Business Services,Gurugram,3-5 Yrs,9 Days Ago,"Document your work clearly and concisely, including research papers, technical reports,..."
Data Scientist,Global Pharma Tek,Bengaluru,3-5 Yrs,11 Days Ago,"Bachelors Degree in a Quantitative discipline, preferably Computer Science Deep Learnin..."
"Data Scientist - Python, JavaScript - L&T Technology Services",Larsen & Toubro (L&T),Chennai,3-6 Yrs,12 Days Ago,"Not looking any Fresher. Reagrds, . Soujanya CExperience - 3 to 6 Years need early join..."
Data Scientist,Airtel International,Gurugram,6-11 Yrs,13 Days Ago,Technical Skills . 6+ years of AI / ML Engineering experience . 2+ years of experience ...
Data Scientist,Larsen & Toubro (L&T),Chennai,3-8 Yrs,13 Days Ago,Must be able to deliver full stack code using Angular / React and PythonPreferred candi...
Data Scientist,Alyssum Global Services,"Hybrid - Noida, New Delhi, Bengaluru",3-7 Yrs,14 Days Ago,"Experience using web services: Redshift, S3, Spark, DigitalOcean, etcLooking for someon..."
Data Scientist required For a reputed organisation in Hyderabad,Masadir Hr Services,Hyderabad,8-13 Yrs,3 Days Ago,Proven experience of 6 + years as an Data Scientist Solid experience in data science ML...
Data Scientist,Cynosure Corporate Solutions,Chennai,2-6 Yrs,6 Days Ago,"Roles and Responsibilities:Required to Identify, develop and implement the appropriate ..."
Data Scientist (Banking/NBFC),Muthoot Microfin,"Kochi/Cochin, Ernakulam",8-12 Yrs,12 Days Ago,The company is focused on providing micro-loans to women entrepreneurs with a focus on ...
Data Scientist,Worleyparsons,"Mumbai, Navi Mumbai",5-10 Yrs,10 Days Ago,Experience in supervised / semi-supervised and unsupervised machine learning algorithms...
Data Scientist I,Worleyparsons,"Mumbai, Navi Mumbai",4-7 Yrs,10 Days Ago,Understanding business objectives and developing models that help to achieve t...
Data Scientist,DUN BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Chennai,5-10 Yrs,10 Days Ago,masters degree or higher with concentration in a quantitative discipline such as (Math ...
Data Scientist - ITG,Blue Yonder,Hyderabad,6-8 Yrs,12 Days Ago,"The Data Scientist will be responsible for designing, developing, and deploying mach..."
Data Scientist,Roblox,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-6 Yrs,10 Days Ago,"5+ years of experience as a data scientist, data engineer, or related roleExperience ma..."
Data Scientist,Lingaro Sp Z Oo,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,10 Days Ago,"Experience with business requirements gathering, transforming them into technical plan,..."
Data Scientist- LLM/NLP,Simetrik,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-3 Yrs,10 Days Ago,"Bachelors or Masters degree in Computer Science, Engineering, Mathematics, or relate..."
Data Scientist,Intense Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,12 Days Ago,"Bachelors or Masters degree in Computer Science, Data Science, AI, Machine Learning, or..."
Data Scientist,TransOrg,"Bangalore Rural, Gurgaon/ Gurugram, Mumbai (All Areas)",2-5 Yrs,12 Days Ago,"Bachelors in Computer Science/ Engineering, Statistics, Math or related quantitative de..."
Data Scientist,Quantiphi Analytics Solutions,"Mumbai, Bengaluru, Thiruvananthapuram",3-8 Yrs,11 Days Ago,"Experience with Cross validation, backtesting, model selection, hyper-parameter fine-tu..."
Data Scientist,Target,Bengaluru,3-6 Yrs,9 Days Ago,Four-year degree or equivalent experience . .
Data Scientist,Xoom,Bengaluru,5-7 Yrs,10 Days Ago,Understanding the funnel so that we can identify friction points and opportunities to i...
Data Scientist,Xoom,"Chennai, Bengaluru",3-5 Yrs,10 Days Ago,"Trouble shooting any data, system and flow challenges while maintaining flawless strate..."
Data Scientist,Xoom,"Chennai, Bengaluru",4-7 Yrs,10 Days Ago,These solutions will directly impact customer experience with PayPal products . What do...
Data Scientist,Xoom,"Chennai, Bengaluru",5-7 Yrs,10 Days Ago,experience in constructing ML models and developing end-to-end model pipelines is a plu...
Data Scientist,Ingersoll Rand,Bengaluru,8-10 Yrs,11 Days Ago,Job & Division Summary: The Engineer is in charge of developing and managing a large I...
Data Scientist,Kaleidofin,"Hybrid - Chennai, Bengaluru",1-4 Yrs,12 Days Ago,Experience in risk and credit score domains preferredCollections and Digital Channels e...
Data Scientist (AI/ML),OneOrigin,Bengaluru,6-8 Yrs,12 Days Ago,"About the Role: At OneOrigin, ML-powered solutions drive our business, and they add si..."
Data Scientist - Computer Vision (Immediate Joiners),Valiance Solutions,Bengaluru,1-6 Yrs,12 Days Ago,Job Title: Data Scientist (Computer Vision)Summary:We are seeking a highly skilled and ...
Data Scientist,Bureau,Bengaluru,5-7 Yrs,13 Days Ago,Proficiency in Python and scaling out to the cloud (AWS / Databricks/Azure) . Strong fa...
Data Scientist,FedEx,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",2-6 Yrs,14 Days Ago,"Education MBA / masters in information systems, Computer Science, or a quantitative dis..."
Data Scientist - Engineering Applications,Codevian Technologies,Pune,2-5 Yrs,13 Days Ago,Utilize data science techniques to analyze and interpret complex data from isome...
Data Scientist (Leadership Role),Fortune Global 500 Industrial Automation Firm,Bengaluru,12-20 Yrs,12 Days Ago,"You should have bachelors or masters degree in computer science, Statistics or Mathemat..."
Data Scientist,Software,Bengaluru,9-12 Yrs,11 Days Ago,Roles and Responsibilities. Data Scientist: BE/ B Tech / M Tech/ MCA in computer scienc...
Renewable Energy Forecasting Expert; Data scientist,"Jade Business Services, a US Data and Analytics.",Remote,7-12 Yrs,11 Days Ago,Minimum of 5+ years of experience in developing and deploying machine learning models f...
Data Scientist,Williams Lea,"Kochi, Chennai",5-7 Yrs,9 Days Ago,Data Analysis and Interpretation    Analyse large and complex datasets to derive act...
Data Scientist,Global Pharma Tek,Pune,5-9 Yrs,7 Days Ago,years of proven Data Science experience and involvement in packaged platform delivery a...
Data Scientist - Python & SQL Focus,Viaprom Technologies,Kolkata,4-6 Yrs,12 Days Ago,"Skills and Qualifications: A. Bachelors or Masters degree in Computer Science, Statisti..."
Data Scientist,GOPHERS.IN,Noida,4-8 Yrs,10 Days Ago,"Required Qualifications: . Bachelors or Masters degree in Data Science, Statistics, Com..."
Data Scientist,M And C Property Development,Chennai,3-5 Yrs,13 Days Ago,"Required Qualifications : . Educational Qualification: MCA, BE, or BTech in Computer Sc..."
Data Scientist (Databricks),Codevian Technologies,Pune,2-4 Yrs,13 Days Ago,"Design, build, and deploy scalable machine learning models on the Databricks pla..."
Data Scientist,Automotive Robotics (ARI),Chennai,7-9 Yrs,13 Days Ago,"Experience: 7 to 9 yrs. Experience in lib like Numpy, Panda"
Data Scientist,Hexagon Capability Center India Pvt.Ltd.,Hyderabad,3-7 Yrs,14 Days Ago,"Experience building pipelines for model training, evaluation, and continuous deployment..."
Data Scientist,MSC Software,Hyderabad,3-7 Yrs,14 Days Ago,"Experience building pipelines for model training, evaluation, and continuous deployment..."
Urgent Hiring For Data Scientist,Thoughtspark Services,Hyderabad,3-6 Yrs,14 Days Ago,Core Technical Skills: . AI and Machine Learning : Proficiency in various AI and machin...
Data Scientist (Pytotrch/Tensorflow),Uplers,Remote,3-6 Yrs,9 Days Ago,"Data Scientist (Remote) Experience: 3+ yearsSalary : USD 25, 000-40, 000 / yearExpected..."
Data Scientist,Spidernine,Pune,3-7 Yrs,9 Days Ago,The ideal candidate will have experience with machine learning algorithms and data visu...
Data Scientist,Travelfika,"Salem, Coimbatore",3-7 Yrs,9 Days Ago,Experience in Data Science and AI Technologies
Data Scientist,Square Panda,Mumbai,3-5 Yrs,9 Days Ago,They should be able to translate various forms of marketing data into compelling insigh...
Data Scientist,"MUTUAL MOBILE, INC.",Hyderabad,8-13 Yrs,10 Days Ago,Opportunity to work on bleeding-edge projects     Work with a highly motivated and de...
Data Scientist | In App Information Technology,InApp,Thiruvananthapuram,4-6 Yrs,11 Days Ago,"Masters in a STEM field such as Statistics, Math, Engineering, Information Systems, etc..."
Data Scientist,SK Finance,Jaipur,4-8 Yrs,12 Days Ago,Proven experience as a Data Scientist or Data AnalystExperience in data mining
Data Scientist,Devo,Noida,3-8 Yrs,11 Days Ago,We are seeking a highly motivated Data Scientist/Machine learning engineer with a pr...
Data Scientist,Procter &amp; Gamble,Mumbai,2-5 Yrs,13 Days Ago,Collaborating actively across functional partners and senior management to accomplish...
Data Scientist,Findability Sciences,"Mumbai, Aurangabad",5-10 Yrs,13 Days Ago,"Proficient in time series forecasting, predictive analytics, propensity modelingExperie..."
Data Scientist,Head Infotech India,Hyderabad,4-6 Yrs,13 Days Ago,Deep understanding of key supervised and unsupervised ML algorithms - should be able to...
Data Scientist,Nexuslink Services,Ahmedabad,2-10 Yrs,14 Days Ago,"Mentor and coach junior developers, sharing your knowledge and experience to foster the..."
Data Scientist,CONTUS TECH,Chennai,6-8 Yrs,14 Days Ago,". NLP Techniques: Proficient with RNN, LSTM, and attention-based models experience with..."
Data Scientist,Fluxwings Solutions Mumbai,Mumbai,2-7 Yrs,11 Days Ago,Preferred candidate profile  3 or more years of experience in data science Advanced exp...
Data Scientist,PG,Mumbai,2-5 Yrs,9 Days Ago,"As a Data Scientist, youll be using Big Data and advanced analytics to direct the en..."
Quantitative Analyst / Data Scientist,Bestex Research,Bengaluru,0-3 Yrs,30+ Days Ago,Collaborative mindset with strong independent research abilities . Bachelors in compute...
Data Scientist,Somet Consulting,"Gandhinagar, Ahmedabad, Vadodara",4-9 Yrs,2 Days Ago,"-build predictive models, machine learning algorithms & putting them into production -k..."
Data Scientist,IT consulting,Pune,3-8 Yrs,11 Days Ago,Mandatory Skills : Data Scientist position.RAGLLM/SLMNLPFine-tuning LLMMLOpsPythonExpe...
Immediate opening For Data Scientist,venpa,Chennai,4-6 Yrs,13 Days Ago,"Proficient understanding of code versioning tools, such as GitHub, Bitbucket, ADOLocati..."
Data Scientist / Data Engineer,Bizopp Management Consultants,Chennai,4-9 Yrs,4 Days Ago,"- Experience in Python, C++, R - Practical understanding of SQL and NoSQL databases - E..."
Data Scientist,Leading Client,Bengaluru,10-15 Yrs,10 Days Ago,Work with the Core Finance Engineering team to identify the use cases under Central Fin...
AI Business - Sales Data Scientist,Leading Client,Bengaluru,3-7 Yrs,10 Days Ago,The ability to explain technical details in a language that can be understood by others...
Data Scientist  -  Energy Domain,Tie-ups,Chennai,3-7 Yrs,6 Days Ago,"Analyze large time-series data sets, identify patterns, trends & anomalies. Build, test..."
IAM Data scientist/ Data Analyst,Treyas Infotech And Consulting,Bengaluru,4-6 Yrs,28 Days Ago,- knowledge of Splunk- Able to automate data flow from Splunk to DB (Aware on the APis)...
Data Scientist & Analyst,Itday,Bengaluru,5-7 Yrs,30+ Days Ago,"Experience using web services: Redshift, S3, Spark, DigitalOcean, etc. Excellent writte..."
Forecasting Analyst / Data Scientist,Locus It Services,Bengaluru,2-7 Yrs,30+ Days Ago,. Should be flexible working in US shifts . Maintain process documentation and tweak as...
Python Developers and Data Scientists For HYD - WFO,Axycube Solutions,Hyderabad(Nanakramguda),3-6 Yrs,5 Days Ago,whatsapp @7676328677 DATA SCIENCE ENGINEERS : 4 To 6 yrs in Data Science .AI and ML wit...
Data Scientist -  Entry level,European Company,"Hybrid - Chennai, Bengaluru, Mumbai (All Areas)",0-5 Yrs,30+ Days Ago,"Conduct advanced statistical analysis to identify trends, patterns, and insights.Devel..."
Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-5 Yrs,30+ Days Ago,Proficient with databases and data stores especially MongoDB and ElasticSearch  Profici...
Data Scientist,Data Collection Infotech,Bengaluru,0-4 Yrs,30+ Days Ago,"Collaborate with other data analysts to provide development coverage, support . Desired..."
Data Scientist,Akaike Technologies,Bengaluru,0-6 Yrs,30+ Days Ago,A Bachelor s degree  At least 1-year Deep learning experience  Tensorflow / Keras / Pyt...
Product Data Scientist,Sundial,Bengaluru,0-7 Yrs,30+ Days Ago,. We are open to all candidates from 0 to 7 years of experience
Data Scientist,Citriot,Bengaluru,0-2 Yrs,30+ Days Ago,. Masters / Bachelors with a focus on machine learning (deep learning) or image process...
Data Scientist: Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,23 Days Ago,"Your Role and ResponsibilitiesWork with broader team to build, analyze and improve the ..."
Generative AI Data Scientist,Genpact,"Hyderabad, Gurugram, Bengaluru",8-13 Yrs,18 Days Ago,"Expert level of understanding of NLP, NLU and Machine learning / Deep learning methods...."
Data Scientist,Volvo Financial Services,Bengaluru,3-6 Yrs,30+ Days Ago,". You must have a proven experience in Data modelling Regression, Clustering, Neural Ne..."
Data Scientist,Flipkart,Hybrid - Bengaluru(Kadubeesanahalli),2-4 Yrs,19 Days Ago,The responsible person should be able to communicate and collaborate with multiple stak...
Data Scientist,Applied Materials,Bengaluru,4-7 Yrs,24 Days Ago,. Masters Degree Qualifications . Education: Masters DegreeStrong knowledge of and expe...
Data Scientist,Applied Materials,Bengaluru,4-7 Yrs,25 Days Ago,". Masters Degree Strong knowledge of and experience with reporting tools (Tableau), dat..."
"Data Scientist - Chennai, Bangalore, Hyderabad / 3+ relevant",2coms,Bengaluru,6-11 Yrs,28 Days Ago,. . Our client are Great Place to Work - Certified. . Problem Solving: While technical ...
Data Scientist,Visa,Bengaluru,3-7 Yrs,30+ Days Ago,"To ensure that Visa s payment technology is truly available to everyone, everywhere ..."
Data Scientist I,Philips,Bengaluru,7-10 Yrs,30+ Days Ago,. All to ensure great digital solutions are developed for our customers. Youre the righ...
"DISTINGUISHED, DATA SCIENTIST",Walmart,Bengaluru,10-14 Yrs,30+ Days Ago,Understand customer requirements to design appropriate data representation for complex ...
Data Scientist,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,30+ Days Ago,"To ensure successful initiation, planning, execution, control and completion of the ..."
Data Scientist,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,30+ Days Ago,. An expert in Python (hands-on) . Strong experience with Regression based models (incl...
Data Scientist,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,30+ Days Ago,"Proven experience as a Data Scientist or similar role, preferably in the healthcare d..."
Data Scientist,Novitas Infotech,"Noida, Gurugram, Bengaluru",3-7 Yrs,30+ Days Ago,". You should be comfortable managing work plans, timelines and milestones . You have a ..."
Data Scientist,Siemens,Bengaluru,2-3 Yrs,30+ Days Ago,Qualification: Bachelors or Masters in Computer Science & Engineering . As a Data Scien...
Data Scientist,ANZ,Bengaluru,2-7 Yrs,24 Days Ago,"Need to have good understanding of the Banking system and products, service, channels ...."
Data Scientist: Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,26 Days Ago,"As a Data Scientist at IBM, you will help transform our clients' data into tangible bus..."
Data Scientist,ANZ,Bengaluru,7-9 Yrs,30+ Days Ago,. 7 plus years experience in Data Analytics/ Data Science domain . Analytical mindset w...
Data Scientist I,DXC Technology,Bengaluru,5-9 Yrs,30+ Days Ago,"Proficient in building ML models like Logistic Regression, SVMs, . Random Forests, Gaus..."
Data Scientist III,Inmobi,Bengaluru,4-7 Yrs,30+ Days Ago,"Required: . masters in a quantitative field such as Computer Science, Statistics, Elect..."
Data Scientist,Accolite Software India Pvt Ltd,"Hyderabad, Bengaluru",3-6 Yrs,30+ Days Ago,"Experience in technologies like Python, Jupyter, Machine Learning Algorithms, SQL, Data..."
Data Scientist,SAP,Bengaluru,4-8 Yrs,28 Days Ago,What you'll do:You will work with a team of highly technical and motivated developers.C...
Data Scientist,Paypal,Bengaluru,4-8 Yrs,27 Days Ago,Bachelor / masters degree in quantitative area strongly preferred - including mathemati...
Data Scientist,CGI,Bengaluru,3-6 Yrs,30+ Days Ago,Skills:    Azure API Management   Data Visualisation   Artificial Intelligence   Deep...
Data scientist - SS,Daimler India Commercial Vehicles Ltd,Bengaluru,2-7 Yrs,30+ Days Ago,"Build the infrastructure required for optimal extraction, transformation, and loading o..."
Data Scientist,Conneqt Digital,Bengaluru,5-9 Yrs,30+ Days Ago,". Should know Databricks, azure, sql, python and pyspark, . knowledge AsDE and ADF will..."
Data Scientist,Pega,Bengaluru,6-11 Yrs,30+ Days Ago,"Experience in using algorithms like Na ve Bayes, Maximum Entropy, SVM, Logistic Regress..."
Data Scientist,Paypal,Bengaluru,5-10 Yrs,16 Days Ago,experience in constructing ML models and developing end-to-end model pipelines is a plu...
Data Scientist,Tokopedia,Bengaluru,1-2 Yrs,17 Days Ago,"Bachelor s or Master s Degree in Computer Science, Statistics, Operations Research, or ..."
Data Scientist (Telco),PayU India,"Gurugram, Bengaluru",2-7 Yrs,30+ Days Ago,"Degree (BE / BTech / MS, PhD or equivalent) in Computer Science, Mathematics, Operation..."
Data Scientist - Telco,PayU India,Bengaluru,2-7 Yrs,30+ Days Ago,"Degree (BE / BTech / MS, PhD or equivalent) in Computer Science, Mathematics, Operation..."
ML / Data Scientist / Gen AI Specialist,Gibots,Pune,0-4 Yrs,30+ Days Ago,"Candidate should have a Bachelor s DegreeRequired Education, Experience Skills  . 0 to ..."
Data Scientist,Hbic Solutions,Hyderabad,0-2 Yrs,30+ Days Ago,". Data collection, processing and analysing the data and generating the reports provide..."
Data Scientist,Impelox Tech,Chennai,0-1 Yrs,25 Days Ago,We are seeking a motivated and passionate intern to join our AI/ML engineering team. As...
Data Scientist,Clustor Computing,Nagpur,No experience info,Starts in 1-3 months,No description
Data Scientist,Scimitar Research,Pune,0-1 Yrs,30+ Days Ago,"Bachelor s or Master s degree in Data Science, Computer Science, Statistics, or a relat..."
Data scientist,Growthjockey,Gurugram,0-1 Yrs,30+ Days Ago,"Master s Degree in Computer Science, Statistics, Applied Math or related field . 0-1 ye..."
ML / Data Scientist / Gen AI Specialist,Aiqod,Pune,0-4 Yrs,18 Days Ago,"Candidate should have a Bachelor s DegreeRequired Education, Experience & Skills  . 0 t..."
